Year,Commemorative,Obverse,Reverse,D,P,Count,D,P,S,W,No Mark,Mintage,,,,D,P,No Mark,,CC,D,O,P,S,W,No Mark,,,,,D,P,S,Total,D,P,S,Total
1796,,,,,,0,,,,,,,,Draped Bust,Small Eagle,,,,0,,,,"6,146",,,,"6,146",,,,,,,,,,,
1804,,,,,,0,,,,,,,,Draped Bust,Heraldic Eagle,,,,0,,,,"6,738",,,,"6,738",,,,,,,,,,,
1805,,,,,,0,,,,,,,,Draped Bust,Heraldic Eagle,,,,0,,,,"121,394",,,,"121,394",,,,,,,,,,,
1806,,,,,,0,,,,,,,,Draped Bust,Heraldic Eagle,,,,0,,,,"206,124",,,,"206,124",,,,,,,,,,,
1807,,,,,,0,,,,,,,,Draped Bust,Heraldic Eagle,,,,0,,,,"220,643",,,,"220,643",,,,,,,,,,,
1815,,,,,,0,,,,,,,,"Capped Bust, Large","Capped Bust, Large",,,,0,,,,"89,235",,,,"89,235",,,,,,,,,,,
1818,,,,,,0,,,,,,,,"Capped Bust, Large","Capped Bust, Large",,,,0,,,,"361,174",,,,"361,174",,,,,,,,,,,
1819,,,,,,0,,,,,,,,"Capped Bust, Large","Capped Bust, Large",,,,0,,,,"144,000",,,,"144,000",,,,,,,,,,,
1820,,,,,,0,,,,,,,,"Capped Bust, Large","Capped Bust, Large",,,,0,,,,"127,444",,,,"127,444",,,,,,,,,,,
1821,,,,,,0,,,,,,,,"Capped Bust, Large","Capped Bust, Large",,,,0,,,,"216,851",,,,"216,851",,,,,,,,,,,
1822,,,,,,0,,,,,,,,"Capped Bust, Large","Capped Bust, Large",,,,0,,,,"64,080",,,,"64,080",,,,,,,,,,,
1823,,,,,,0,,,,,,,,"Capped Bust, Large","Capped Bust, Large",,,,0,,,,"17,800",,,,"17,800",,,,,,,,,,,
1824,,,,,,0,,,,,,,,"Capped Bust, Large","Capped Bust, Large",,,,0,,,,"168,000",,,,"168,000",,,,,,,,,,,
1825,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,
1826,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,
1827,,,,,,0,,,,,,,,"Capped Bust, Large","Capped Bust, Large",,,,0,,,,"4,000",,,,"4,000",,,,,,,,,,,
1828,,,,,,0,,,,,,,,"Capped Bust, Large","Capped Bust, Large",,,,0,,,,"102,000",,,,"102,000",,,,,,,,,,,
1829,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,
1830,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,
1831,,,,,,0,,,,,,,,"Capped Bust, Small","Capped Bust, Small",,,,0,,,,"398,000",,,,"398,000",,,,,,,,,,,
1832,,,,,,0,,,,,,,,"Capped Bust, Small","Capped Bust, Small",,,,0,,,,"320,000",,,,"320,000",,,,,,,,,,,
1833,,,,,,0,,,,,,,,"Capped Bust, Small","Capped Bust, Small",,,,0,,,,"156,000",,,,"156,000",,,,,,,,,,,
1834,,,,,,0,,,,,,,,"Capped Bust, Small","Capped Bust, Small",,,,0,,,,"286,000",,,,"286,000",,,,,,,,,,,
1835,,,,,,0,,,,,,,,"Capped Bust, Small","Capped Bust, Small",,,,0,,,,"1,952,000",,,,"1,952,000",,,,,,,,,,,
1836,,,,,,0,,,,,,,,"Capped Bust, Small","Capped Bust, Small",,,,0,,,,"472,000",,,,"472,000",,,,,,,,,,,
1837,,,,,,0,,,,,,,,"Capped Bust, Small","Capped Bust, Small",,,,0,,,,"252,400",,,,"252,400",,,,,,,,,,,
1838,,,,,,0,,,,,,,,"Capped Bust, Small","Capped Bust, Small",,,,0,,,,"366,000",,,,"366,000",,,,,,,,,,,
1838,,,,,,0,,,,,,,,Seated Liberty,No Drapery,,,,0,,,,"466,000",,,,"466,000",,,,,,,,,,,
1839,,,,,,0,,,,,,,,Seated Liberty,No Drapery,,,,0,,,,"491,146",,,,"491,146",,,,,,,,,,,
1840,,,,,,0,,,,,,,,Seated Liberty,No Drapery,,,,0,,,,,,,,0,,,,,,,,,,,
1840,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"188,127",,,,"188,127",,,,,,,,,,,
1841,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"120,000",,,,"120,000",,,,,,,,,,,
1842,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"88,000",,,,"88,000",,,,,,,,,,,
1843,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"645,600",,,,"645,600",,,,,,,,,,,
1844,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"421,200",,,,"421,200",,,,,,,,,,,
1845,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"922,000",,,,"922,000",,,,,,,,,,,
1846,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"510,000",,,,"510,000",,,,,,,,,,,
1847,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"734,000",,,,"734,000",,,,,,,,,,,
1848,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"146,000",,,,"146,000",,,,,,,,,,,
1849,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"340,000",,,,"340,000",,,,,,,,,,,
1850,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"190,800",,,,"190,800",,,,,,,,,,,
1851,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"160,000",,,,"160,000",,,,,,,,,,,
1852,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"177,060",,,,"177,060",,,,,,,,,,,
1853,,,,,,0,,,,,,,,Seated Liberty,No Motto,,,,0,,,,"44,200",,,,"44,200",,,,,,,,,,,
1853,,,,,,0,,,,,,,,Seated Liberty,Arrows and Rays,,,,0,,,,"15,210,020",,,,"15,210,020",,,,,,,,,,,
1854,,,,,,0,,,,,,,,Seated Liberty,Arrows,,,,0,,,,"12,380,000",,,,"12,380,000",,,,,,,,,,,
1855,,,,,,0,,,,,,,,Seated Liberty,Arrows,,,,0,,,,"2,857,000",,,,"2,857,000",,,,,,,,,,,
1856,,,,,,0,,,,,,,,Seated Liberty,"No motto, arrows, rays",,,,0,,,,"7,264,000",,,,"7,264,000",,,,,,,,,,,
1857,,,,,,0,,,,,,,,Seated Liberty,"No motto, arrows, rays",,,,0,,,,"9,644,000",,,,"9,644,000",,,,,,,,,,,
1858,,,,,,0,,,,,,,,Seated Liberty,"No motto, arrows, rays",,,,0,,,,"7,368,000",,,,"7,368,000",,,,,,,,,,,
1859,,,,,,0,,,,,,,,Seated Liberty,"No motto, arrows, rays",,,,0,,,,"1,343,200",,,,"1,343,200",,,,,,,,,,,
1860,,,,,,0,,,,,,,,Seated Liberty,"No motto, arrows, rays",,,,0,,,,"804,400",,,,"804,400",,,,,,,,,,,
1861,,,,,,0,,,,,,,,Seated Liberty,"No motto, arrows, rays",,,,0,,,,"4,853,600",,,,"4,853,600",,,,,,,,,,,
1862,,,,,,0,,,,,,,,Seated Liberty,"No motto, arrows, rays",,,,0,,,,"932,000",,,,"932,000",,,,,,,,,,,
1863,,,,,,0,,,,,,,,Seated Liberty,"No motto, arrows, rays",,,,0,,,,"191,600",,,,"191,600",,,,,,,,,,,
1864,,,,,,0,,,,,,,,Seated Liberty,"No motto, arrows, rays",,,,0,,,,"93,600",,,,"93,600",,,,,,,,,,,
1865,,,,,,0,,,,,,,,Seated Liberty,"No motto, arrows, rays",,,,0,,,,"58,800",,,,"58,800",,,,,,,,,,,
1866,,Shield,Rays,,,0,0,"14,742,500",0,,,"14,742,500",,Seated Liberty,"No motto, arrows, rays",,,,0,,,,1,,,,1,,,,,,,,,,,
1866,,,,,,0,,,,,,0,,Seated Liberty,Motto,,,,0,,,,"16,800",,,,"16,800",,,,,,,,,,,
1867,,Shield,Rays,,,0,0,"2,019,000",0,,,"2,019,000",,Seated Liberty,Motto,,,,0,,,,"20,000",,,,"20,000",,,,,,,,,,,
1867,,Shield,Without Rays,,,0,0,"28,890,500",0,,,"28,890,500",,,,,,,0,,,,,,,,0,,,,,,,,,,,
1868,,Shield,Without Rays,,,0,0,"28,817,000",0,,,"28,817,000",,Seated Liberty,Motto,,,,0,,,,"29,400",,,,"29,400",,,,,,,,,,,
1869,,Shield,Without Rays,,,0,0,"16,395,000",0,,,"16,395,000",,Seated Liberty,Motto,,,,0,,,,"16,000",,,,"16,000",,,,,,,,,,,
1870,,Shield,Without Rays,,,0,0,"4,806,000",0,,,"4,806,000",,Seated Liberty,Motto,,,,0,,,,"86,400",,,,"86,400",,,,,,,,,,,
1871,,Shield,Without Rays,,,0,0,"561,000",0,,,"561,000",,Seated Liberty,Motto,,,,0,,,,"118,200",,,,"118,200",,,,,,,,,,,
1872,,Shield,Without Rays,,,0,0,"6,036,000",0,,,"6,036,000",,Seated Liberty,Motto,,,,0,,,,"182,000",,,,"182,000",,,,,,,,,,,
1873,,Shield,Without Rays,,,0,0,"4,549,100",0,,,"4,549,100",,Seated Liberty,Motto,,,,0,,,,"212,000",,,,"212,000",,,,,,,,,,,
1873,,,,,,0,,,,,,0,,Seated Liberty,"Motto, arrows",,,,0,,,,"1,271,160",,,,"1,271,160",,,,,,,,,,,
1874,,Shield,Without Rays,,,0,0,"3,538,000",0,,,"3,538,000",,Seated Liberty,"Motto, arrows",,,,0,,,,"471,200",,,,"471,200",,,,,,,,,,,
1875,,Shield,Without Rays,,,0,0,"2,097,000",0,,,"2,097,000",,Seated Liberty,"Motto, arrows",,,,0,,,,"4,292,800",,,,"4,292,800",,,,,,,,,,,
1876,,Shield,Without Rays,,,0,0,"2,530,000",0,,,"2,530,000",,Seated Liberty,"Motto, arrows",,,,0,,,,"17,816,000",,,,"17,816,000",,,,,,,,,,,
